event_id,queen_id,season_id,episode_id,event_type,decided_by_queen_id,notes,farewell
E0256,Q0442,DU04,DU04E08,eliminated,-,-,-
E0257,Q0457,ES01,ES01E01,eliminated,-,-,"""[drawing] Recordad todo Lo que os he dicho Sois unas estrellas TODAS DALE A TU CUERPO ALEGRIA. the MACARENA"""
E0258,Q0456,ES01,ES01E02,eliminated,-,-,"""🞻 ♡JAMAS APAGUEN SU LLAMA 🞻💋 VULKI"""
E0259,Q0406,ES01,ES01E04,eliminated,-,-,"""[scribble] ESTO LO LIMPIAIS VOSOTRAS, ÉSTRELLAS ARANTXA CASTILLA LA MANCHA ⋆"""
E0260,Q0454,ES01,ES01E05,eliminated,-,-,"""[drawing] SI NO ME ENTENDÉIS, ¡IRSE! HUGÁCEO CRUJIENTE"""
E0261,Q0453,ES01,ES01E06,eliminated,-,-,"""OS AMO ZORRAS CARMEN LA CORONA ES TUYA! ♡"""
E0262,Q0452,ES01,ES01E07,eliminated,-,-,"""TODAS SOIS GANADORAS SEN FELICES Pupi (PUPI POISSON) 💋"""
E0263,Q0455,ES01,ES01E03,withdrew,-,-,-
E0264,Q0469,ES02,ES02E01,eliminated,-,-,"""CHIQUES, NO TENGAIS TANTA PRISA COMO YO. 💋 [drawing] ♡"""
E0265,Q0468,ES02,ES02E02,eliminated,-,-,"""Os espero en el fondo del MAR❤️"""
E0266,Q0467,ES02,ES02E03,eliminated,-,-,"""Pero... QUÉ WHAT HAPPEND Cariñooo.... PD. Disfrutar!! y Reir!! 💋"""
E0267,Q0466,ES02,ES02E04,eliminated,-,-,"""❤️ME COMIÓ EL TIGRE. Que no os coma a ustede. 💋❤️"""
E0268,Q0465,ES02,ES02E05,eliminated,-,-,"""En verdad sí soy una alienígena porque ha vuestro lado me he sentido rodeada de estrellas. ☆ ONYX ☆ 💋"""
E0269,Q0464,ES02,ES02E06,eliminated,-,-,"""Seguid siendo la mejor temporada EVER! D♥ 💋"""
