song_id,title,artist,times_used,spotify_track_id,is_rumix,catalog
S0157,Good 4 U,Olivia Rodrigo,1,-,No,LIPSYNC
S0158,Telephone,Lady Gaga ft. Beyoncé,1,-,No,LIPSYNC
S0159,7 Rings,Ariana Grande,1,-,No,LIPSYNC
S0160,Ain't No Mountain High Enough (Eric Kupper Remix),Diana Ross,1,-,No,LIPSYNC
S0161,You Better Run,Pat Benatar,1,3x2BrfKZUiiZMhQj4BwUb1,No,LIPSYNC
S0162,Q.U.E.E.N.,Janelle Monáe ft. Erykah Badu,1,3HW030T8eqPs8wpsgZqCGM,No,LIPSYNC
S0163,In Your Room,The Bangles,1,6BsXgrxQViV3PdAjS13uWZ,No,LIPSYNC
S0164,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",1,7mFj0LlWtEJaEigguaWqYh,No,LIPSYNC
S0166,Single Ladies (Put a Ring on It),Beyoncé,1,5R9a4t5t5O0IsznsrKPVro,No,LIPSYNC
S0167,Boss Bitch,Doja Cat,1,78qd8dvwea0Gosb6Fe6j3k,No,LIPSYNC
S0169,For the Girls,Hayley Kiyoko,1,3KsjKXNeNMQ56baZH0RFq0,No,LIPSYNC
S0170,When Love Takes Over,David Guetta ft. Kelly Rowland,1,77FULy278MulVvGWS8BfK7,No,LIPSYNC
S0171,Break My Soul,Beyoncé,1,5pyoxDZ1PX0KxBxiRVxA4U,No,LIPSYNC
S0172,Shower,Becky G,1,3DmW6y7wTEYHJZlLo1r6XJ,No,LIPSYNC
S0173,Maybe You're the Problem,Ava Max,1,6WDG2ybdV3SBXV0lwBGu4D,No,LIPSYNC
S0174,Dark Lady,Cher,1,78iKm1iMndHYluerZ8UEqu,No,LIPSYNC
S0175,Emergency,Icona Pop,1,6E7oFW7xTK6Ghucsq6tMUj,No,LIPSYNC
S0176,Control,Janet Jackson,1,-,No,LIPSYNC
S0177,Flowers,Miley Cyrus,1,7DSAEUvxU8FajXtRloy8M0,No,LIPSYNC
S0178,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1,2tUBqZG2AbRi7Q0BIrVrEj,No,LIPSYNC
S0180,Made You Look,Meghan Trainor,1,0QHEIqNKsMoOY5urbzN48u,No,LIPSYNC
S0181,Dim All the Lights,Donna Summer,1,17w9BQupQyj3px7HRwqq5t,No,LIPSYNC
